"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 05 15:32:19 CST 2021","Tue Jan 05 15:32:22 CST 2021","2885","TestCase","test_01_test_camera04","TestCamera04","","","自动、晴天、阴天、白炽灯、荧光灯",""
"passed","Tue Jan 05 15:40:00 CST 2021","Tue Jan 05 15:40:03 CST 2021","3063","TestCase","test_01_test_camera06","TestCamera06","","","选择后点赞或者删除",""
"passed","Tue Jan 05 15:32:46 CST 2021","Tue Jan 05 15:32:49 CST 2021","3289","TestCase","test_01_test_camera04","TestCamera04","","","各种模式",""
"passed","Tue Jan 05 15:38:24 CST 2021","Tue Jan 05 15:38:27 CST 2021","3004","TestCase","test_01_test_camera05","TestCamera05","","","设备断开、连接",""
"passed","Tue Jan 05 15:27:24 CST 2021","Tue Jan 05 15:27:27 CST 2021","3282","TestCase","test_01_test_camera02","TestCamera02","","","各种模式",""
"passed","Tue Jan 05 15:19:37 CST 2021","Tue Jan 05 15:19:39 CST 2021","2314","TestCase","test_01_test_camera","Testcamera01","","","常亮、关闭",""
"passed","Tue Jan 05 15:32:22 CST 2021","Tue Jan 05 15:32:24 CST 2021","2297","TestCase","test_01_test_camera04","TestCamera04","","","自动、晴天、阴天、白炽灯、荧光灯",""
"passed","Tue Jan 05 15:37:58 CST 2021","Tue Jan 05 15:38:01 CST 2021","3275","TestCase","test_01_test_camera05","TestCamera05","","","各种模式",""
"passed","Tue Jan 05 15:35:15 CST 2021","Tue Jan 05 15:35:28 CST 2021","13144","TestCase","test_01_test_camera04","TestCamera04","","","间隔,拍摄时长,轨迹",""
"passed","Tue Jan 05 15:27:38 CST 2021","Tue Jan 05 15:27:41 CST 2021","3334","TestCase","test_01_test_camera02","TestCamera02","","","各种模式",""
"passed","Tue Jan 05 15:43:05 CST 2021","Tue Jan 05 15:43:11 CST 2021","5285","TestCase","test_01_test_camera06","TestCamera06","","","编辑、删除",""
"passed","Tue Jan 05 15:29:44 CST 2021","Tue Jan 05 15:29:47 CST 2021","3325","TestCase","test_01_test_camera03","TestCamera03","","","各种模式",""
"passed","Tue Jan 05 15:26:57 CST 2021","Tue Jan 05 15:27:01 CST 2021","3350","TestCase","test_01_test_camera02","TestCamera02","","","各种模式",""
"passed","Tue Jan 05 15:40:40 CST 2021","Tue Jan 05 15:40:43 CST 2021","2880","TestCase","test_01_test_camera06","TestCamera06","","","选择后点赞或者删除",""
"passed","Tue Jan 05 15:34:57 CST 2021","Tue Jan 05 15:34:57 CST 2021","526","TestCase","test_01_test_camera04","TestCamera04","","","视频分辨率",""
"passed","Tue Jan 05 15:24:17 CST 2021","Tue Jan 05 15:24:19 CST 2021","2362","TestCase","test_01_test_camera02","TestCamera02","","","美颜",""
"passed","Tue Jan 05 15:22:36 CST 2021","Tue Jan 05 15:22:52 CST 2021","16037","TestCase","test_01_test_camera","Testcamera01","","","设备连接、断开设备",""
"passed","Tue Jan 05 15:26:27 CST 2021","Tue Jan 05 15:26:32 CST 2021","4192","TestCase","test_01_test_camera02","TestCamera02","","","跟随、拍摄",""
